Name,Location,Supplier,Date,Qty,Species
"M/s. Sree Kamadhenu Aquatech Pvt. Ltd","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",05.01.2026,600,VANNAMEI
"M/s. Sankalpa Prawn Farms & Hatcheries","Visakhapatnam, Andhra Pradesh","SIS, Florida",07.01.2026,550,VANNAMEI
"M/s. Sapthagiri Hatcheries","Anakapalli, Andhra Pradesh","SIS, Florida",07.01.2026,1000,VANNAMEI
"M/s. Venkata Sai Hatcheries","Kakinada, Andhra Pradesh","SIS, Florida",08.01.2026,1000,VANNAMEI
"M/s. Tropical Shrimp Hatchery","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",08.01.2026,500,VANNAMEI
"M/s. TMR Bio-Marine","Anakapalli, Andhra Pradesh","SIS, Florida",09.01.2026,1000,VANNAMEI
"M/s. Meenakshi Hatcheries Pvt. Ltd","Vizianagaram, Andhra Pradesh","SIS, Florida",09.01.2026,1000,VANNAMEI
"M/s. Srinidhi Marine Technologies","Anakapalli, Andhra Pradesh","SIS, Florida",10.01.2026,600,VANNAMEI
"M/s. Sapthagiri Hatcheries - Unit II","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",10.01.2026,1000,VANNAMEI
"M/s. SB Marines","Kakinada, Andhra Pradesh","SIS, Florida",10.01.2026,600,VANNAMEI
"M/s. Vaisakhi Bio-Resources Pvt. Ltd","Vizianagaram, Andhra Pradesh","SIS, Florida",11.01.2026,600,VANNAMEI
"M/s. Sheng Long Bio-Tech (India) Pvt. Ltd","Chengalpattu, Tamil Nadu","SIS, Florida",11.01.2026,560,VANNAMEI
"M/s. Sarada Hatcheries - Unit I","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",12.01.2026,400,VANNAMEI
"M/s. Srinidhi Biotechnologies","Anakapalli, Andhra Pradesh","SyAqua Americas Inc., Florida",12.01.2026,600,VANNAMEI
"M/s. Rama Shrimp Hatchery","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",15.01.2026,1200,VANNAMEI
"M/s. Vaisakhi Marine Resources Pvt. Ltd - Unit II","Anakapalli, Andhra Pradesh","SyAqua Americas Inc., Florida",17.01.2026,600,VANNAMEI
"M/s. Lakshmi Narayana Quality Hatcheries","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",17.01.2026,400,VANNAMEI
"M/s. Golden Marine Harvest - Unit II","Nagapattinam, Tamil Nadu","SyAqua Americas Inc., Florida",19.01.2026,1000,VANNAMEI
"M/s. Syaqua India Pvt. Ltd","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",22.01.2026,1200,VANNAMEI
"M/s. Amaze Shrimp Hatcheries","Villupuram, Tamil Nadu","SIS, Florida",23.01.2026,400,VANNAMEI
"M/s. Sunshine AQ Care Pvt. Ltd - Unit II","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",24.01.2026,600,VANNAMEI
"M/s. Sri Manjunatha Hatchery","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",24.01.2026,600,VANNAMEI
"M/s. CPF (India) Pvt. Ltd","Vizianagaram, Andhra Pradesh","Kona Bay; Hawaii",27.01.2026,480,VANNAMEI
"M/s. BMR Marine Products Ltd","Visakhapatnam, Andhra Pradesh","SyAqua Americas Inc., Florida",27.01.2026,1200,VANNAMEI
"M/s. CPF (India) Pvt. Ltd","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",29.01.2026,600,VANNAMEI
"M/s. Jay Jay Aqua Tech","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",29.01.2026,600,VANNAMEI
"M/s. Pavani Hatcheries","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",31.01.2026,500,VANNAMEI
"M/s. Saran Saai Hatcheries","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",31.01.2026,600,VANNAMEI
"M/s. Unibio (India) Hatcheries Pvt. Ltd","Chengalpattu, Tamil Nadu","Aquaculture De La Mahajambal",27.01.2026,160,MONODON
"M/s. Unibio (India) Hatcheries Pvt. Ltd","Chengalpattu, Tamil Nadu","Aquaculture De La Mahajambal",29.01.2026,160,MONODON
