Name,Location,Supplier,Date,Qty,Species
"M/s. B Tech Hatcheries","Kakinada, Andhra Pradesh","SIS, Florida",01.11.2025,1200,VANNAMEI
"M/s. Hybrid EBI Hatcheries Pvt. Ltd","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",02.11.2025,800,VANNAMEI
"M/s. Sripa Aqua Marine Pvt. Ltd","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",02.11.2025,500,VANNAMEI
"M/s. Divyasneha Hatcheries","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",02.11.2025,500,VANNAMEI
"M/s. Regal Bio Marine Hatchery","Chengalpattu, Tamil Nadu","SIS, Florida",06.11.2025,500,VANNAMEI
"M/s. Bindu Hatcheries","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",06.11.2025,600,VANNAMEI
"M/s. Sai Gnaneswary Hatcheries","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",06.11.2025,600,VANNAMEI
"M/s. Seven Staar Aqua Tech","Chengalpattu, Tamil Nadu","SIS, Florida",06.11.2025,450,VANNAMEI
"M/s. Sree Dattatreya Hatcheries","Bapatla, Andhra Pradesh","SIS, Florida",08.11.2025,600,VANNAMEI
"M/s. East Coast Hatcheries","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",11.11.2025,1000,VANNAMEI
"M/s. Tejaswi Sea Food Hatcheries","Kakinada, Andhra Pradesh","American Penaeid, Florida",12.11.2025,440,VANNAMEI
"M/s. CPF (India) Pvt. Ltd","Vizianagaram, Andhra Pradesh","SIS, Florida",12.11.2025,800,VANNAMEI
"M/s. Ananda Hatcheries","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",13.11.2025,800,VANNAMEI
"M/s. Sri Jagannath Hatchery","Anakapalli, Andhra Pradesh","SIS, Florida",13.11.2025,450,VANNAMEI
"M/s. Gaayathri Bio Marine","Bapatla, Andhra Pradesh","SyAqua Americas Inc., Florida",15.11.2025,1000,VANNAMEI
"M/s. Sri Pavan Aquatech","Kakinada, Andhra Pradesh","SIS, Florida",16.11.2025,800,VANNAMEI
"M/s. Fedora Sea Foods Pvt. Ltd","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",17.11.2025,600,VANNAMEI
"M/s. Sri Mahalakshmi Hatcheries","Visakhapatnam, Andhra Pradesh","SyAqua Americas Inc., Florida",17.11.2025,600,VANNAMEI
"M/s. BMR Marine Products Ltd","Visakhapatnam, Andhra Pradesh","SIS, Florida",19.11.2025,1000,VANNAMEI
"M/s. Aquatic Farms Ltd","Ganjam, Odisha","SIS, Florida",20.11.2025,600,VANNAMEI
"M/s. Aquatic Farms Ltd","Ganjam, Odisha","SIS, Florida",21.11.2025,800,VANNAMEI
"M/s. SS Hatcheries - Unit II","Tirupati, Andhra Pradesh","SyAqua Americas Inc., Florida",22.11.2025,400,VANNAMEI
"M/s. Anjaneya Marine Hatcheries","Tirupati, Andhra Pradesh","SyAqua Americas Inc., Florida",22.11.2025,800,VANNAMEI
"M/s. Samudra Hatcheries Pvt. Ltd","Kakinada, Andhra Pradesh","SIS, Florida",23.11.2025,540,VANNAMEI
"M/s. Mas Aqua Techniks Pvt. Ltd - Plant II","SPSR Nellore, Andhra Pradesh","Aquaculture De La Mahajambal",08.11.2025,1280,MONODON
"M/s. Unibio (India) Hatcheries Pvt. Ltd","Chengalpattu, Tamil Nadu","Aquaculture De La Mahajambal",08.11.2025,640,MONODON
