Name,Location,Supplier,Date,Qty,Species
"M/s. Sri Manjunatha Hatcheries","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",01.12.2025,800,VANNAMEI
"M/s. Royal Hatcheries","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",04.12.2025,600,VANNAMEI
"M/s. CPF (India) Pvt. Ltd","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",04.12.2025,600,VANNAMEI
"M/s. Lotus Sea Farms","Chengalpattu, Tamil Nadu","SIS, Florida",06.12.2025,800,VANNAMEI
"M/s. Avanti Feeds - Unit I","Anakapalli, Andhra Pradesh","SIS, Florida",06.12.2025,600,VANNAMEI
"M/s. Sri Sai Hatchery & Prawn Culture Pvt. Ltd","Bapatla, Andhra Pradesh","SIS, Florida",06.12.2025,600,VANNAMEI
"M/s. KPR Hatchery","Kakinada, Andhra Pradesh","SIS, Florida",07.12.2025,400,VANNAMEI
"M/s. Shree Kanaka Matsya Hatcheries","Ganjam, Odisha","SIS, Florida",10.12.2025,600,VANNAMEI
"M/s. Sea Way Hatchery Pvt. Ltd","Mayiladuthurai, Tamil Nadu","SyAqua Americas Inc., Florida",11.12.2025,300,VANNAMEI
"M/s. Venture Shrimp Hatchery","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",11.12.2025,500,VANNAMEI
"M/s. Winner Marine Hatchery","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",11.12.2025,500,VANNAMEI
"M/s. Sri Venkateswara Shrimp Hatcheries Pvt. Ltd","Kakinada, Andhra Pradesh","SIS, Florida",11.12.2025,800,VANNAMEI
"M/s. Varun Hatcheries","Bapatla, Andhra Pradesh","SIS, Florida",11.12.2025,600,VANNAMEI
"M/s. Sunshine AQ Care Pvt. Ltd - Unit III","Chengalpattu, Tamil Nadu","Benchmark Genetics, Florida",12.12.2025,600,VANNAMEI
"M/s. Vaishnavi Aquatek Pvt. Ltd","Tirupati, Andhra Pradesh","Moana Technologies LLC, Hawaii",05.12.2025,1000,MONODON
"M/s. BMR Shrimp Hatcheries","Villupuram, Tamil Nadu","Aquaculture De La Mahajambal",06.12.2025,1022,MONODON
